trip_duration_min,is_peak_time,distance_km,neighborhood_type,base_rate_multiplier,trip_fare
22,No,4,Residential,1.14,12.06
16,No,3,,0.88,10.04
16,No,7,Airport,1.20,15.09
16,No,5,Residential,1.09,11.25
19,,10,Business,1.10,16.67
17,No,1,Rural,0.92,10.09
8,No,16,Residential,0.95,21.11
10,No,2,Rural,0.87,8.49
13,No,7,,1.17,13.42
15,Yes,5,Business,,12.66
17,No,1,Business,1.16,9.34
,No,3,Business,1.30,11.80
7,No,5,Business,1.42,10.36
14,No,1,Rural,1.38,9.17
18,Yes,4,Business,0.95,12.20
16,No,10,Business,1.18,15.74
18,No,11,Residential,1.14,16.46
14,,9,Airport,0.84,16.98
14,No,9,Rural,1.32,15.05
16,No,,Rural,1.06,12.69
22,No,7,Business,1.22,14.92
14,Yes,8,Residential,0.98,13.97
11,No,2,Rural,,9.99
20,No,2,Business,1.57,11.06
7,No,7,Rural,1.06,11.74
6,No,2,Airport,1.11,9.87
29,No,7,Airport,1.07,17.06
21,Yes,6,Residential,1.20,15.12
17,Yes,7,Business,1.41,14.46
11,No,8,Business,1.28,14.49
18,No,2,Rural,1.22,11.38
20,Yes,8,Residential,1.32,15.74
11,No,9,Rural,,15.70
12,No,6,Business,1.41,12.79
22,No,4,Residential,0.99,12.47
14,No,,Business,1.06,10.01
3,Yes,4,Business,1.57,9.43
12,,3,Rural,1.15,10.90
,No,4,Rural,,10.05
13,No,5,Business,1.14,11.80
14,No,1,Residential,1.19,8.85
21,No,5,Business,1.05,12.36
,Yes,7,Residential,1.32,13.99
4,Yes,8,Residential,1.28,13.69
16,No,7,Business,0.80,13.05
19,No,5,Business,1.11,13.55
26,No,6,Rural,1.12,14.85
14,No,5,,1.01,11.72
18,No,5,Residential,0.97,11.55
13,No,2,Rural,1.22,9.79
8,No,1,Rural,1.10,8.29
14,No,8,Business,1.32,16.00
,No,3,Business,0.88,10.91
20,No,,Business,1.24,11.17
15,No,3,,1.31,11.60
26,No,6,Residential,1.24,14.50
20,No,7,Business,1.45,14.71
5,Yes,2,Airport,1.26,10.84
6,No,2,,1.35,8.50
21,No,1,Business,1.26,10.15
3,No,2,Residential,1.27,8.04
11,Yes,11,Residential,1.07,16.29
13,No,5,Business,1.42,12.40
9,No,3,,1.36,9.89
11,No,6,Rural,1.12,12.10
15,Yes,6,Residential,1.17,13.46
,No,2,Residential,0.80,9.49
25,No,,,1.10,10.55
16,Yes,5,Business,1.20,14.35
3,No,2,Residential,1.25,7.81
13,No,7,,1.02,13.11
12,Yes,9,Business,1.35,15.19
11,No,5,Residential,1.53,12.04
12,Yes,9,Residential,,14.80
16,No,8,Business,0.89,13.77
17,Yes,4,Business,1.33,12.97
23,,5,,1.60,13.49
8,No,3,Residential,1.27,9.84
19,Yes,8,Business,1.13,15.38
16,Yes,6,Rural,1.55,14.29
19,Yes,3,Rural,1.29,13.00
14,Yes,3,Business,1.25,12.15
9,No,6,Business,0.94,12.30
15,No,5,Rural,1.07,11.87
23,Yes,7,Business,1.09,15.28
5,No,6,Rural,1.03,11.40
8,No,8,Business,1.06,13.07
20,Yes,1,Airport,1.02,12.66
20,Yes,9,,1.00,15.52
15,No,5,,1.37,11.57
,Yes,5,Business,1.43,13.04
9,No,8,Residential,1.31,13.79
14,No,6,Residential,1.19,11.91
8,No,5,Rural,1.09,11.06
20,Yes,6,Airport,1.00,15.21
21,No,6,Residential,1.24,13.33
15,No,4,Business,,11.99
21,No,10,Residential,1.07,16.04
3,No,7,Residential,1.50,11.85
,No,6,Residential,1.64,14.23
15,No,7,Business,1.15,13.78
28,,3,Airport,1.05,14.01
15,No,2,Business,1.52,10.07
17,No,8,Business,1.01,15.41
14,No,1,Business,1.03,8.42
21,No,7,Rural,0.87,13.60
6,Yes,5,Residential,1.18,11.18
12,Yes,3,Business,0.86,11.04
16,No,3,Airport,1.43,12.51
17,No,3,Residential,1.13,10.08
,No,5,Business,1.03,13.53
5,No,4,Business,1.09,10.27
20,No,3,Airport,1.04,11.79
19,No,6,Business,1.80,14.01
17,No,6,,1.30,13.30
14,,4,Residential,1.25,12.08
,No,2,Rural,1.28,9.27
26,No,7,Residential,1.16,14.46
7,Yes,5,Business,1.15,11.64
18,No,5,,1.24,13.26
23,No,4,Rural,1.30,13.20
22,Yes,1,Business,0.89,10.23
19,,4,Business,1.32,12.97
21,Yes,8,Business,1.49,16.65
24,No,4,Business,1.12,13.34
19,Yes,2,Business,,12.07
11,Yes,6,Airport,1.68,14.76
,No,5,Rural,1.59,11.28
19,No,7,Residential,1.35,14.13
16,,3,Rural,1.02,11.06
17,Yes,3,Rural,0.95,11.88
19,No,5,Business,1.00,13.00
20,No,,Residential,1.13,12.42
18,Yes,7,Residential,1.30,14.59
16,Yes,2,Residential,1.03,10.55
23,Yes,4,Business,1.00,13.87
8,No,3,Rural,0.80,9.98
18,No,5,Business,1.28,12.30
16,No,3,Residential,1.19,10.19
13,Yes,4,Residential,1.32,11.72
11,No,6,Residential,1.21,12.23
8,No,7,Residential,1.21,12.59
4,No,2,Business,1.31,8.46
19,Yes,8,Business,0.99,16.34
16,No,7,,0.92,13.85
14,No,1,Business,1.21,9.31
8,No,1,Residential,1.19,8.29
13,No,7,Residential,1.32,12.76
13,No,1,Residential,1.17,8.45
16,Yes,8,Rural,1.07,14.38
3,Yes,9,Business,1.20,14.14
17,Yes,11,Business,1.49,17.88
16,No,5,Residential,1.60,12.33
8,Yes,1,Rural,1.29,9.27
12,No,1,Rural,0.98,7.58
19,Yes,5,Residential,1.09,13.30
10,No,1,Business,1.07,9.15
19,No,4,Business,1.62,12.53
7,Yes,1,Rural,0.96,9.62
19,No,,Business,1.47,16.11
,No,6,Business,1.52,12.28
20,No,9,Airport,1.14,17.25
14,Yes,6,Residential,1.26,14.04
14,No,1,Residential,1.08,8.91
8,No,7,Business,1.20,12.81
10,No,5,,1.35,11.47
,Yes,5,Business,1.19,12.67
15,No,2,Airport,1.05,10.38
13,No,5,Business,1.59,11.98
9,Yes,,Residential,1.40,12.10
12,No,3,Rural,,10.58
22,No,,Business,1.44,13.11
19,,9,Residential,,15.29
14,,6,Rural,1.55,14.88
,No,5,Airport,1.38,13.03
16,No,4,Residential,1.28,11.05
11,No,4,Business,1.22,10.40
14,No,7,Rural,1.32,14.50
12,No,3,Airport,1.43,11.76
9,No,3,Rural,1.51,10.02
27,No,3,Business,1.29,13.18
14,Yes,10,Business,,16.52
18,No,3,Airport,1.07,11.47
11,No,8,Business,0.95,13.12
11,Yes,4,Residential,1.47,12.87
22,No,1,Rural,1.43,11.38
11,No,4,Business,1.45,10.43
15,No,5,Residential,1.20,12.96
22,,8,,1.34,16.15
10,No,2,Business,1.19,8.91
11,,8,Business,1.24,13.51
11,No,7,Rural,1.46,14.04
15,Yes,9,Residential,1.42,15.57
16,No,3,Residential,1.33,10.27
23,No,6,Business,1.08,14.54
18,No,10,Residential,0.99,16.00
6,Yes,6,Business,1.14,12.04
8,,5,Rural,,10.98
13,No,7,Airport,1.06,14.17
18,No,5,Residential,1.26,13.14
22,Yes,5,Business,1.27,14.45
13,No,2,Business,1.42,9.58
12,,6,Airport,1.35,13.64
16,No,,,1.37,10.67
16,No,6,Business,1.22,13.10
20,No,,Business,1.14,12.27
3,No,1,Business,1.46,7.13
13,No,7,Rural,1.19,13.85
,Yes,6,Business,0.86,12.34
13,Yes,3,Business,1.20,12.37
14,,,Rural,1.33,14.63
22,Yes,6,Rural,1.01,15.30
18,Yes,6,,1.52,14.49
20,No,3,Rural,1.42,12.16
17,No,4,Business,1.31,12.07
6,No,3,Rural,1.00,9.10
20,Yes,4,Rural,1.30,13.67
18,No,6,Residential,1.72,13.76
25,No,2,Residential,1.25,10.74
17,No,8,Airport,,15.35
12,Yes,12,Business,1.11,16.67
27,No,5,Residential,1.30,13.66
17,Yes,4,Residential,0.91,12.22
6,,3,Residential,1.11,9.63
,No,9,,0.96,14.21
9,No,3,Rural,1.16,10.06
30,Yes,7,Airport,1.21,17.82
14,No,4,Residential,,11.85
21,Yes,6,Business,,14.72
,Yes,7,Residential,1.20,12.34
10,No,4,Rural,1.37,11.23
18,No,3,Business,1.38,11.68
16,No,2,Residential,0.80,9.05
9,No,3,Rural,1.40,9.77
11,No,7,,1.30,12.60
4,No,5,Rural,1.29,10.66
9,No,6,Residential,1.60,11.52
20,Yes,9,Business,0.80,16.26
3,No,11,Business,1.08,14.09
20,Yes,1,Rural,0.95,11.32
23,Yes,2,Business,1.13,11.65
,No,3,Business,1.27,8.81
11,No,,Rural,0.98,14.01
22,No,6,Rural,1.30,13.79
3,No,7,Business,1.33,11.26
,,7,Rural,0.81,13.03
22,Yes,3,Business,1.30,12.80
14,No,6,Rural,1.22,12.86
7,No,,Business,1.31,10.95
15,,3,Business,1.27,11.11
14,,9,Business,1.43,16.11
10,Yes,8,Rural,,14.69
17,No,8,Rural,1.34,14.64
,No,5,Rural,1.02,11.07
19,No,4,Business,1.13,11.82
13,No,5,Business,1.28,12.36
10,No,6,Business,1.24,12.23
12,Yes,4,Airport,1.36,14.00
20,No,6,Business,1.32,13.28
,No,2,Airport,1.29,11.06
10,No,8,Business,0.93,12.02
12,Yes,3,Business,1.14,10.60
30,No,6,Business,1.04,15.14
8,Yes,8,Business,1.40,14.28
21,No,2,Rural,1.10,10.95
20,No,7,Residential,0.94,13.92
12,No,4,Business,1.33,10.85
10,No,4,Airport,1.54,12.37
18,Yes,7,Residential,1.24,14.49
20,,6,Rural,1.30,14.04
19,Yes,7,Business,1.17,14.88
20,Yes,3,Residential,1.27,12.03
20,Yes,3,Business,,12.37
16,No,6,Residential,1.67,12.88
16,Yes,10,Residential,1.00,16.28
13,No,4,Residential,1.18,10.32
14,No,8,Rural,0.93,13.65
17,Yes,3,Business,1.13,11.95
3,No,8,Residential,1.24,12.15
16,No,1,Residential,1.20,8.81
9,No,6,Residential,1.00,11.55
17,Yes,7,Rural,1.40,15.49
12,No,3,Airport,1.11,10.13
22,Yes,9,Residential,1.35,17.61
14,No,3,Business,1.13,10.16
14,No,8,Residential,1.35,14.78
15,No,4,Business,1.33,11.24
13,Yes,3,Airport,1.35,12.32
14,Yes,4,,0.99,12.02
21,No,9,Business,,15.43
12,Yes,6,Residential,1.14,13.01
19,No,7,,1.00,14.03
14,No,5,Business,1.45,12.75
13,No,6,Rural,1.07,12.81
23,No,6,Business,1.34,14.50
9,No,8,Rural,1.22,14.05
22,No,5,Residential,1.53,14.68
20,No,6,Rural,1.17,14.42
12,No,4,Business,,10.99
13,No,6,Business,1.26,12.78
15,No,,Business,0.93,11.40
26,No,,Residential,0.90,14.62
18,Yes,5,Residential,1.16,12.93
8,No,6,Business,1.20,10.96
10,No,1,Airport,,9.84
11,Yes,7,Business,1.22,13.46
21,No,5,Business,1.27,13.15
21,No,4,Residential,1.28,11.85
19,No,10,Business,1.41,16.45
24,No,3,Residential,0.90,11.01
10,No,3,Residential,1.23,9.56
13,Yes,7,Business,1.21,14.54
18,No,1,,1.15,9.93
26,Yes,3,Business,1.11,12.95
15,Yes,2,Rural,1.43,11.15
23,No,4,Residential,1.23,12.26
8,No,5,Business,1.01,10.73
25,No,4,Residential,1.37,12.85
15,Yes,4,Residential,1.19,12.77
19,No,3,Business,1.64,11.70
14,Yes,6,Residential,1.29,13.74
19,No,5,Residential,0.87,11.57
11,No,6,Business,1.21,12.01
9,No,1,Rural,1.13,8.68
22,No,8,Business,1.25,14.76
26,No,1,Business,1.17,11.37
,Yes,6,Rural,1.41,14.33
19,No,7,Airport,1.50,15.61
9,No,7,Business,1.15,12.78
8,No,7,Airport,1.40,14.20
19,No,4,Residential,1.11,11.45
14,No,5,Residential,1.39,12.20
12,No,4,Business,1.02,10.56
16,No,9,Rural,1.08,15.19
18,No,3,Rural,1.10,10.88
8,No,3,Rural,1.41,10.96
12,No,4,Residential,1.10,10.32
16,No,4,Airport,1.26,12.70
15,Yes,7,Business,0.80,13.41
3,No,10,Business,1.02,14.01
7,Yes,9,Rural,1.09,14.74
9,Yes,3,Business,1.39,10.90
7,Yes,6,Business,1.34,12.45
7,Yes,3,Airport,0.84,11.48
11,No,4,Business,1.31,10.71
17,Yes,8,Residential,1.35,15.96
23,Yes,1,Rural,1.05,11.33
8,Yes,5,Airport,1.03,12.52
8,Yes,8,Residential,1.19,13.96
7,Yes,8,Residential,1.26,13.07
,Yes,5,Rural,1.13,11.59
17,No,10,Business,0.82,15.66
26,No,1,Business,1.52,10.83
12,No,1,Business,1.52,9.30
13,Yes,6,Rural,0.91,13.41
24,,26,Rural,1.24,35.16
18,Yes,12,Rural,1.51,20.18
17,Yes,3,Business,1.14,12.17
13,No,5,Business,1.02,11.51
14,No,5,Airport,1.23,14.04
16,No,3,Residential,1.00,10.21
9,No,2,Residential,1.23,8.49
16,No,11,Business,1.50,17.48
23,No,6,Business,1.16,13.59
5,Yes,6,Airport,1.32,13.07
21,No,9,Business,1.24,16.14
23,No,6,Business,1.08,14.00
12,No,6,,0.82,12.48
8,Yes,4,Airport,1.27,12.86
19,Yes,2,Rural,1.28,12.14
7,No,,Business,1.14,10.89
16,No,7,Residential,1.28,13.73
18,Yes,7,Rural,1.21,15.32
13,No,8,Rural,1.32,13.73
14,No,5,Rural,,12.46
24,No,1,Business,1.38,10.46
25,,6,Rural,1.28,16.71
15,No,6,Airport,1.03,13.72
18,No,7,Business,1.30,14.23
24,Yes,8,Business,0.88,15.69
11,,7,Business,1.47,13.02
19,No,5,Residential,0.84,11.75
25,No,6,Residential,0.80,13.87
13,Yes,2,Business,1.02,10.12
7,No,5,Residential,1.42,10.54
20,No,4,Business,1.40,12.80
31,Yes,3,Airport,1.52,15.60
18,Yes,2,Business,1.48,11.56
17,Yes,7,Business,1.20,14.93
24,,1,Business,0.87,9.49
6,No,3,Business,1.31,8.73
7,No,3,Rural,1.06,10.67
21,No,3,Residential,1.21,11.03
3,,6,Business,1.36,11.06
11,Yes,8,Residential,1.12,14.67
21,Yes,9,Business,1.07,16.46
22,No,,Residential,1.46,12.32
15,No,4,Residential,0.99,10.49
3,Yes,6,Residential,,11.77
15,Yes,,Residential,1.22,11.02
16,Yes,1,Residential,1.27,9.41
22,No,5,Residential,1.41,12.95
13,No,10,Airport,1.25,16.35
14,Yes,10,Business,1.11,16.49
14,No,4,Business,0.99,10.49
9,No,5,Business,1.44,11.40
13,Yes,6,Rural,1.16,13.43
17,No,2,,1.30,10.29
4,No,4,Airport,1.15,11.01
16,,5,Business,1.08,12.80
21,Yes,22,Residential,1.10,30.61
17,No,2,Airport,1.19,11.49
,No,3,,1.12,11.19
8,Yes,9,Rural,1.23,15.03
3,No,3,Business,1.08,9.11
13,No,5,Business,0.97,11.59
25,,8,Business,1.10,15.74
21,Yes,1,Business,1.08,10.68
13,Yes,8,Business,1.32,14.91
13,No,11,Business,1.20,15.74
14,No,4,Residential,1.17,10.90
26,No,2,Residential,1.36,11.25
12,No,2,Residential,1.49,8.87
13,No,4,Residential,1.11,10.55
21,No,3,Residential,0.83,10.54
18,No,7,Business,1.28,14.23
23,No,5,Business,0.80,12.89
8,No,7,Residential,1.55,13.19
18,No,5,Rural,1.10,12.39
27,,7,Business,1.28,15.50
14,No,9,Residential,1.40,14.65
7,No,,Business,1.33,11.56
14,No,9,Residential,1.24,14.59
13,No,6,Rural,,13.02
,,,Residential,1.31,12.45
19,No,3,Business,1.06,11.97
16,No,,Business,0.80,10.81
10,No,7,Business,1.45,12.10
18,Yes,7,Business,1.17,14.64
,No,3,Business,1.11,10.99
10,No,4,Rural,1.09,11.12
10,No,5,Residential,0.88,11.06
23,No,,Residential,1.12,9.20
12,Yes,5,Rural,1.14,13.46
16,No,7,Business,1.22,13.50
8,No,2,Residential,1.25,9.23
10,No,6,Rural,1.17,11.86
18,No,1,Business,1.17,10.21
19,No,9,Business,1.09,15.84
18,No,5,,1.12,13.00
21,Yes,2,Airport,1.37,13.50
19,Yes,8,Business,1.44,16.90
20,No,6,Residential,1.41,13.76
8,Yes,6,Business,1.16,12.39
6,,6,Residential,1.13,11.92
16,No,8,Business,1.32,14.62
3,No,5,Residential,1.16,9.57
14,No,,Airport,1.04,12.54
13,No,1,Residential,0.94,8.00
19,No,4,Residential,0.96,11.15
15,Yes,9,Business,1.48,15.75
18,Yes,4,Residential,1.17,11.70
,Yes,3,,1.31,12.16
19,No,1,Airport,1.14,10.50
21,No,3,Business,1.53,11.87
11,No,6,Rural,1.05,11.65
18,Yes,8,Business,1.29,15.62
17,No,10,Residential,0.80,15.29
18,No,5,Residential,0.80,12.18
10,No,11,Business,0.91,15.79
17,Yes,6,Residential,1.03,13.95
13,Yes,6,Rural,1.43,14.42
11,Yes,6,Residential,1.22,12.52
10,No,6,Residential,1.14,11.91
10,No,8,Business,1.16,13.78
27,No,5,Rural,1.17,13.64
20,No,4,Business,1.07,11.12
27,Yes,5,Business,0.96,14.51
12,No,4,Residential,1.30,11.21
16,Yes,6,Rural,1.18,14.58
10,Yes,8,Business,1.21,14.59
16,Yes,7,Residential,1.28,14.80
16,No,6,Rural,1.51,14.48
19,No,10,Business,1.37,16.45
17,Yes,5,,1.15,13.44
8,No,5,Rural,1.30,12.02
17,No,7,Business,1.35,13.64
12,No,3,Residential,1.14,9.75
15,No,5,Rural,1.18,13.16
20,No,4,Rural,1.06,12.54
20,,5,Residential,1.19,12.88
11,Yes,5,Residential,1.01,11.63
9,,8,Airport,1.19,14.52
15,Yes,9,Business,1.52,16.43
19,Yes,10,Business,1.55,17.79
16,Yes,5,Business,0.89,13.37
16,,5,Residential,0.80,12.01
14,Yes,,Business,1.32,10.51
10,Yes,5,Business,,12.07
11,No,4,Business,1.34,11.73
15,Yes,4,Rural,1.21,12.34
31,No,6,Business,0.98,15.91
12,No,3,Business,1.00,9.51
8,Yes,4,Rural,1.64,12.53
16,Yes,7,,1.08,14.37
3,No,2,Business,1.19,8.75
5,Yes,4,Business,1.18,10.65
22,No,5,Residential,1.23,13.43
25,Yes,6,Residential,1.56,15.61
4,No,1,Airport,1.08,8.51
13,No,4,Residential,1.46,10.93
,No,6,Business,1.52,14.63
7,No,3,Business,1.24,9.83
11,No,3,Rural,1.16,10.78
24,No,5,Rural,1.00,13.97
18,No,7,Business,1.94,15.31
