mileage_km,is_automatic,engine_size_l,brand,age_years,price
77249,No,2,nissan,3,19930.36668
104744,No,3,BMW,,17879.59901
157814,Yes,2,,8,14894.00483
42271,No,2,nissan,7,21253.64745
139549,Yes,3,nissan,9,15621.29891
130698,No,1,,6,14978.92436
93263,Yes,3,,7,20733.8788
54927,Yes,2,BMW,9,19250.73545
123246,Yes,3,BMW,6,22273.97792
,No,3,BMW,6,20329.67616
130470,Yes,1,Ford,7,14899.69328
120983,Yes,3,nissan,8,19456.71039
192080,Yes,2,Honda,10,11073.30534
109229,No,1,Ford,10,13646.79495
73943,Yes,2,Honda,3,22959.36581
128067,No,1,Honda,13,9748.262498
129900,Yes,2,Ford,8,18529.44249
181163,No,1,Honda,7,12498.63418
157580,No,2,Ford,5,17106.98743
136059,No,3,Honda,15,13624.1166
185849,No,2,nissan,16,7962.980405
66506,Yes,2,Ford,,13837.91605
91211,Yes,2,Ford,8,18971.8448
,No,1,Honda,9,16762.90147
102459,Yes,1,nissan,13,11527.35056
58049,Yes,2,Ford,7,19714.83878
148582,No,2,nissan,10,12740.85901
110000,Yes,2,Honda,9,15354.09714
53814,Yes,2,BMW,15,15708.25892
74299,No,2,Ford,13,13955.8735
134108,Yes,1,BMW,8,14812.36238
157716,Yes,3,BMW,13,14536.20372
209853,Yes,1,BMW,8,11651.15027
251124,Yes,2,Honda,6,12681.17119
138648,,2,Honda,7,15320.19437
75471,No,2,Ford,9,18414.19651
24058,Yes,1,Ford,5,22455.79199
132047,Yes,,Ford,6,20634.23621
,Yes,3,nissan,3,23057.82635
101309,Yes,2,nissan,5,21254.88623
92456,No,2,Honda,9,15567.89196
113664,No,2,BMW,12,13069.32461
167969,Yes,3,nissan,11,17340.76799
127067,No,1,nissan,10,12507.23611
112861,,,,3,20458.9972
73396,Yes,2,Ford,5,20803.91134
44639,No,,Ford,7,21555.93841
98116,No,2,Honda,11,14942.61689
117580,Yes,1,Ford,6,17235.4937
199557,Yes,2,BMW,4,16039.51667
125862,No,2,BMW,13,12828.19602
410558,No,6,Ford,5,33498.28225
97532,Yes,2,Honda,4,21369.63025
66678,Yes,,Ford,9,18958.34469
76570,No,2,BMW,8,19914.4782
87365,,3,Honda,6,21359.30548
215781,Yes,1,nissan,8,9007.326545
83038,Yes,2,BMW,5,20879.05579
157732,No,1,Ford,6,12938.49101
79368,No,2,Ford,8,18122.36427
161921,No,2,BMW,1,20854.76413
137323,Yes,1,nissan,11,11715.51066
112951,Yes,3,nissan,3,20426.24485
118166,Yes,1,Ford,5,18437.79504
90535,,,,12,14403.9114
140073,Yes,2,BMW,10,15620.53344
99526,No,3,Honda,8,20678.75957
64848,No,1,BMW,2,22016.64746
62493,,2,Ford,6,20096.34197
,Yes,2,BMW,7,19776.96719
477648,Yes,4,Honda,7,21965.52672
127200,Yes,2,nissan,12,15262.07349
114661,Yes,2,BMW,15,13338.34024
132862,Yes,1,Honda,10,13023.26649
178770,Yes,3,nissan,6,18885.87754
129872,No,2,BMW,12,13230.08072
101508,Yes,2,nissan,,19256.38664
169783,Yes,3,Honda,0,21511.30628
139294,Yes,1,Ford,4,17511.55316
189109,No,2,Honda,0,15884.80745
128246,Yes,1,BMW,7,17212.83601
64899,Yes,,BMW,7,24742.11469
58433,Yes,,Ford,2,27351.89804
194292,Yes,2,Honda,5,15093.57566
197565,No,2,nissan,3,15632.16942
111922,Yes,,Ford,8,16357.00341
102757,Yes,2,BMW,5,19929.38314
185765,No,2,BMW,12,10338.64113
70183,Yes,2,nissan,9,18322.79516
79737,No,1,BMW,14,11707.91226
148950,Yes,2,nissan,6,15972.11999
102243,No,2,BMW,16,11189.06372
119770,Yes,,BMW,8,16972.635
112645,Yes,2,BMW,6,18433.42362
135191,Yes,2,Ford,16,10145.4691
183337,No,2,Ford,2,17645.78246
124076,Yes,2,nissan,6,17055.545
148977,No,3,Ford,2,21376.72505
27742,No,2,BMW,2,25844.4522
117808,Yes,2,Honda,1,21727.61535
82055,Yes,2,Ford,10,17946.19174
65153,Yes,1,Honda,3,19684.92447
80483,No,3,Honda,7,20036.78154
104964,No,2,nissan,11,13359.4037
161216,Yes,3,Honda,10,15517.79376
60312,Yes,1,Ford,9,17905.12182
121378,,1,Ford,12,11267.42007
98212,Yes,2,,14,13317.72766
105255,Yes,2,Ford,4,18556.46959
165124,Yes,2,BMW,10,14421.24893
144215,Yes,2,BMW,7,17669.88791
180183,No,1,nissan,7,12720.42581
113047,No,1,nissan,3,16047.76447
221706,Yes,4,BMW,6,34259.28564
109926,Yes,1,nissan,7,15732.60532
130912,No,1,Honda,13,9937.847507
127946,Yes,,BMW,4,18544.25319
71203,Yes,2,nissan,0,24579.67036
124072,Yes,3,nissan,8,20243.25088
130270,No,2,,4,20697.25478
233286,No,3,Honda,8,12046.88441
204458,No,2,Ford,,11410.94814
81604,Yes,2,Honda,8,17114.08446
107068,No,3,Honda,6,22368.4653
54145,,,Honda,7,19004.96506
93418,No,2,Ford,11,14785.30234
134202,Yes,2,Honda,4,17505.20659
174263,Yes,2,nissan,11,12580.29806
87191,Yes,1,nissan,4,20144.87634
90563,Yes,2,,10,18706.53579
23372,Yes,2,Ford,,28006.20921
112680,Yes,2,BMW,10,18035.20073
72191,No,2,Honda,8,18448.24785
96175,No,,BMW,8,19570.07683
,Yes,2,nissan,11,15231.27563
115758,Yes,2,Honda,5,20193.49128
40902,,1,Ford,8,20472.90592
53983,Yes,1,Honda,9,18926.68924
215816,Yes,3,BMW,7,15490.54082
62066,,1,BMW,11,16352.92951
70645,No,2,BMW,9,20154.07026
202661,Yes,2,Honda,6,15703.37564
250728,No,3,nissan,12,6641.64892
67280,No,1,BMW,10,15644.81925
103429,Yes,2,Honda,5,19710.94211
135370,No,2,BMW,5,17163.03852
197791,Yes,1,Ford,7,11565.13429
75591,Yes,2,Honda,10,16347.44743
108962,No,2,nissan,0,21747.2696
154980,No,2,nissan,5,15702.2909
139564,Yes,2,Honda,6,15906.23274
103073,Yes,1,Ford,3,19580.16799
113978,No,1,BMW,4,17925.39899
58130,Yes,2,BMW,8,20107.85047
109282,No,1,nissan,6,17412.39184
108013,No,2,Honda,7,16331.32027
130448,Yes,3,Ford,3,22635.81524
95010,,2,BMW,7,19504.87069
141219,No,2,BMW,3,19948.75181
165572,No,,Honda,13,7579.724201
126994,Yes,1,Ford,14,10621.8235
135829,Yes,2,nissan,,17264.3499
122392,Yes,2,Ford,4,18720.31906
120004,No,3,nissan,11,16032.74169
87530,No,2,BMW,10,16937.0415
134242,No,4,BMW,15,16613.72811
115622,Yes,2,BMW,15,11392.71322
214193,Yes,2,BMW,,18096.62987
190801,Yes,,nissan,12,7852.08186
137363,No,2,nissan,7,16077.8991
85662,Yes,2,Ford,10,17497.74735
69941,No,1,Ford,11,14455.53469
173601,Yes,2,Ford,11,12424.43163
131824,Yes,3,Honda,12,15679.87613
141606,No,3,BMW,6,16913.40047
41494,Yes,1,Ford,5,22133.07128
161735,Yes,2,BMW,12,12277.21505
140449,No,3,nissan,5,20075.33296
70031,Yes,2,Ford,,14060.94612
98781,No,2,Honda,5,17990.8244
,No,2,nissan,7,15937.79437
122361,No,1,Ford,7,15999.50566
106852,Yes,1,BMW,3,18796.01498
115343,Yes,2,Ford,3,18940.80034
108661,,3,Honda,11,15677.62107
126865,Yes,2,Ford,2,21128.56296
186217,No,2,BMW,17,8445.304661
5000,No,2,BMW,,22579.89731
109342,Yes,3,Honda,4,21908.21832
127943,Yes,2,Honda,9,14732.55541
133320,No,,BMW,0,22581.97408
103264,Yes,2,Honda,7,20881.72405
40948,Yes,3,Ford,7,22900.65965
134760,No,2,BMW,4,19420.8722
197731,Yes,2,Ford,6,14465.93584
50976,Yes,3,Honda,13,18359.59007
158872,No,3,Honda,9,15297.26209
105216,No,2,Ford,9,15559.49731
117240,Yes,1,BMW,5,17149.2071
72620,No,3,Ford,3,22441.74364
104949,No,1,Ford,7,15765.15126
178502,Yes,1,Ford,0,15989.76882
146219,Yes,2,Ford,4,17062.06392
197954,No,2,Ford,4,14543.50056
172984,Yes,1,BMW,1,18088.48948
139759,No,2,BMW,,13945.36662
198477,Yes,2,BMW,8,13096.66985
139755,Yes,2,Honda,6,16853.8926
157259,Yes,3,Ford,10,16220.65471
106654,Yes,2,Honda,,21273.12393
122995,No,2,BMW,3,21758.70536
88616,Yes,1,Ford,12,13331.75277
164531,No,1,BMW,16,6399.148961
66976,Yes,2,BMW,10,19496.0246
155206,No,3,Honda,10,15112.04032
111421,No,1,BMW,6,17389.83182
172706,Yes,2,BMW,6,15037.03762
153789,Yes,1,Ford,9,13450.9277
201929,No,1,BMW,13,6995.056801
152885,No,2,nissan,9,11836.10897
123145,Yes,3,nissan,11,25708.03381
116987,Yes,1,Ford,5,16712.73874
67260,No,1,BMW,10,15057.15151
96677,Yes,1,Ford,6,15993.99942
188005,No,2,Ford,8,14023.0713
148689,Yes,2,Ford,,14065.41374
88548,Yes,2,BMW,6,19255.19148
74383,No,1,BMW,4,19836.74705
121475,Yes,2,BMW,9,19571.47926
65255,No,2,,8,18846.1981
89799,Yes,2,Honda,8,17201.28735
134040,Yes,2,nissan,10,13339.79368
171989,Yes,1,BMW,13,11362.24734
147394,Yes,2,Honda,10,13630.90965
16892,No,3,BMW,10,21762.60814
133697,No,2,BMW,6,19112.41961
308104,No,3,Honda,7,25575.24559
138625,Yes,2,BMW,10,16065.99942
192729,Yes,1,nissan,7,10561.52928
67886,Yes,4,nissan,10,31817.27861
93400,No,1,BMW,5,19484.23154
,Yes,2,BMW,15,12333.05535
48828,Yes,4,BMW,9,25159.13269
186418,Yes,1,nissan,8,11780.81013
136576,Yes,4,BMW,6,23000.50412
158096,No,2,Honda,15,9765.66
94308,No,1,BMW,4,18941.35467
156619,No,1,Honda,6,14572.21981
168081,Yes,3,BMW,11,15543.32442
130480,Yes,2,nissan,9,16750.34787
130548,Yes,1,Honda,6,17229.86972
132165,No,2,,6,16652.37154
81149,No,,BMW,7,19540.71354
,Yes,2,,8,17124.74858
113136,No,,Ford,13,13123.73465
137253,Yes,3,nissan,10,17452.97968
164992,Yes,1,Ford,12,9527.428172
72366,Yes,2,nissan,6,19546.62078
114375,Yes,2,,10,15765.00297
186665,No,2,nissan,3,15220.19037
86539,No,2,nissan,9,18593.07177
82999,,1,Honda,8,15348.97369
129104,No,1,nissan,14,7537.736338
157997,No,2,Ford,13,10801.66416
120514,Yes,2,Honda,7,16342.89376
179803,Yes,1,BMW,5,12436.3492
158556,Yes,1,BMW,,14190.57402
157882,No,3,Honda,7,17710.1694
144935,No,2,nissan,13,10931.23072
224744,No,,nissan,9,9045.409441
110768,Yes,3,Honda,10,19639.94782
29841,Yes,2,nissan,,19169.83668
192191,No,3,Honda,5,16051.37242
99404,Yes,1,Honda,6,17324.64459
124855,Yes,1,BMW,10,13161.70508
178930,Yes,2,Ford,5,16205.65989
47898,Yes,2,Ford,3,25666.22146
63676,No,3,Honda,4,22233.06556
47942,No,1,Honda,12,13370.69277
84264,No,2,nissan,7,19093.31616
,Yes,2,nissan,9,15755.5975
143588,Yes,2,Honda,,18326.06339
132432,No,2,Honda,9,15095.55524
56426,Yes,2,Honda,7,20421.23216
,Yes,1,Honda,10,18837.82389
122446,No,2,Ford,6,17087.74379
98770,Yes,,nissan,10,15826.98234
140672,Yes,1,nissan,6,14900.59087
151588,No,2,Honda,8,12923.63181
,No,2,Ford,7,15950.72839
154206,Yes,1,,8,15522.02578
130315,Yes,1,nissan,9,12943.64436
143853,No,3,nissan,6,18120.62231
88290,No,1,nissan,8,16347.70946
111917,No,2,Honda,9,14138.77645
128855,Yes,1,Honda,10,11565.23793
156924,No,3,BMW,8,15130.03645
102282,No,2,Honda,5,18548.653
143453,Yes,2,Ford,8,14451.17349
108037,,2,nissan,10,12435.40081
114711,No,2,BMW,3,21611.98297
157328,No,1,nissan,3,14828.06707
30312,No,1,Ford,6,20393.36885
61659,No,2,BMW,7,18615.7155
53302,No,2,Honda,0,25351.18567
14987,Yes,3,Honda,10,25526.32977
89478,Yes,2,Honda,7,18439.8568
153725,No,2,Honda,0,20715.79661
107180,Yes,3,Honda,4,22285.60118
128901,Yes,2,BMW,7,18807.56428
169015,No,1,nissan,2,16010.53665
179746,Yes,1,,11,9334.398168
116889,No,2,Honda,9,16533.64654
180911,Yes,3,BMW,10,14631.42341
124146,Yes,2,Honda,4,19153.36807
82317,Yes,3,BMW,,20010.00829
93252,No,3,nissan,6,22199.34155
53376,No,2,BMW,7,20439.74307
80034,Yes,1,BMW,9,16664.4231
103889,Yes,,BMW,8,18053.33659
156161,Yes,3,Honda,11,14157.84146
197435,No,2,Honda,8,12477.27336
57802,No,3,,6,23354.09231
137677,No,2,Ford,11,13148.1805
73176,Yes,2,nissan,12,17459.06692
141361,No,2,Ford,8,15008.49957
114101,,2,BMW,13,14341.53947
37609,Yes,2,Honda,7,21156.66411
161773,Yes,1,Ford,8,11882.31898
92775,Yes,2,Honda,8,17403.27248
95974,Yes,1,Ford,,15754.02936
71861,No,2,Honda,7,16882.72207
90557,Yes,1,BMW,5,19274.84231
139255,No,,Ford,5,19377.06116
111484,No,2,Ford,8,15801.64337
134790,Yes,2,Honda,12,14823.39306
136286,,1,BMW,11,12843.4475
179430,No,2,BMW,9,12393.77479
104575,,1,Ford,12,12880.60398
53541,Yes,2,Ford,8,20570.87406
168025,Yes,2,BMW,5,17896.60042
105083,No,2,Honda,7,19292.92304
170157,No,2,Ford,8,14782.09309
137252,No,3,Ford,6,18465.23722
114099,No,2,Honda,10,13996.12417
,Yes,2,Ford,11,13386.70867
207796,No,2,,,15087.6519
213464,No,2,Honda,7,13343.07146
123122,Yes,1,Honda,0,20721.8761
127209,No,,Ford,8,15615.82112
168431,,2,Ford,8,13561.3953
81945,Yes,1,BMW,14,11386.40106
134988,Yes,2,Ford,13,13200.44287
118836,Yes,1,nissan,11,11744.56479
134126,No,2,BMW,5,18141.71227
,Yes,1,BMW,4,19799.54933
48469,Yes,1,Honda,4,23155.77552
26716,No,2,Honda,13,16432.608
69718,No,3,nissan,,22703.31852
99360,,1,BMW,,18448.12757
106806,No,1,nissan,5,16962.96868
207175,Yes,2,Honda,4,13912.62325
169770,Yes,2,Honda,9,12694.32839
76706,No,2,Ford,9,17678.03694
135647,Yes,1,Ford,0,22290.75846
101681,Yes,2,BMW,,21129.18325
107204,No,3,Honda,,18046.37363
128340,Yes,2,BMW,8,14207.80172
147863,No,2,BMW,7,15157.94913
104733,No,1,BMW,10,13370.04906
167873,No,1,nissan,3,15896.66376
68613,Yes,2,BMW,6,21002.80409
120285,Yes,2,Ford,10,15728.07098
236895,Yes,2,Honda,6,12825.9307
130039,No,2,,9,14247.14691
184495,Yes,1,Honda,4,14136.49409
124118,Yes,2,Ford,5,21251.09663
146135,No,1,BMW,2,17470.11069
117445,Yes,1,BMW,1,20193.77003
112332,Yes,2,BMW,6,19666.9577
84923,Yes,3,Ford,10,19730.88321
139364,Yes,1,Ford,8,14073.78672
81681,Yes,2,Ford,12,16854.72094
149951,Yes,2,Ford,7,14305.14793
168838,No,2,Honda,1,19329.80267
136494,No,3,BMW,9,17278.82919
107119,No,2,nissan,4,16878.89348
140428,No,2,nissan,8,14509.74284
106110,No,3,Ford,0,24988.4997
162100,No,3,Ford,7,18110.52104
37587,,2,nissan,10,20561.36427
104898,Yes,2,nissan,10,15036.88036
30413,No,2,Ford,7,20528.30375
,No,1,BMW,8,17842.02195
181374,Yes,2,nissan,6,12548.61355
160283,Yes,2,Honda,7,15380.14875
87623,Yes,2,Honda,10,16565.55924
52387,Yes,2,,,24173.45828
5000,No,1,nissan,6,19711.48658
95543,Yes,2,Honda,2,22550.25337
228919,No,3,Ford,10,12110.4909
139570,No,2,Honda,7,18182.68351
94819,Yes,2,Ford,4,22280.60996
140929,No,2,Ford,11,13561.75107
49757,No,2,Honda,8,17618.49156
106620,Yes,1,Honda,5,15612.97631
124476,Yes,2,,11,15642.56182
116125,No,1,Honda,7,14695.91012
155586,Yes,2,Ford,2,18404.28617
135509,Yes,2,BMW,11,13985.61463
,Yes,2,Ford,5,16802.98814
,Yes,3,BMW,18,13929.76135
160402,No,3,Honda,6,17342.28658
193302,Yes,2,Ford,1,19974.13993
,No,,,14,13091.89136
80054,Yes,3,BMW,8,21784.96578
180110,No,2,Ford,9,14403.13758
111390,Yes,1,BMW,9,16353.54281
183172,No,,,3,15375.46566
100086,No,2,BMW,0,23412.9168
185477,Yes,1,nissan,15,7403.483644
125917,No,2,Ford,2,19654.89912
131620,Yes,2,Honda,14,11581.66793
190412,No,,nissan,10,8806.415697
103720,No,2,nissan,8,16184.34968
77650,Yes,1,nissan,6,18612.87103
99815,Yes,2,BMW,16,13956.41851
140355,Yes,1,Ford,,14585.03776
49541,No,2,Honda,5,22424.19986
148686,No,1,Ford,10,10335.59486
95755,Yes,1,Honda,5,18258.78299
171652,Yes,1,Honda,4,14746.8726
12258,Yes,2,BMW,,23947.96767
84605,Yes,2,BMW,10,19486.66195
44109,Yes,2,Honda,14,16174.10797
82820,Yes,1,Honda,15,9783.306085
131145,No,2,nissan,2,17576.65518
111935,Yes,1,Honda,11,13794.65448
,No,2,BMW,4,20139.56826
112837,Yes,2,BMW,5,18367.81171
129152,Yes,2,Ford,6,17102.19172
74616,No,1,Ford,6,18812.73526
151808,Yes,3,Honda,4,20133.94868
149820,Yes,1,Honda,0,18197.7216
137327,No,2,nissan,13,9948.557241
145044,No,2,Ford,11,12579.65324
133339,No,2,BMW,8,15534.12115
211578,Yes,,Ford,4,14000.20807
116081,Yes,1,BMW,12,10777.24509
106181,Yes,1,BMW,8,16987.03216
86091,No,1,Ford,6,17266.71629
,No,,Ford,2,24130.39178
63999,Yes,3,BMW,10,21698.93606
80004,No,2,Honda,7,19148.51551
116819,Yes,1,Honda,9,14398.79484
135043,Yes,2,BMW,8,17632.6678
,Yes,1,Honda,10,12695.63709
85551,Yes,1,BMW,,16310.99494
160508,No,1,Ford,7,12877.85785
153274,,1,Honda,10,11795.33064
112816,Yes,2,Ford,11,14453.75529
90619,Yes,1,Honda,13,11877.71972
144679,Yes,1,Ford,4,17915.25694
128459,Yes,2,BMW,12,15814.56789
54834,Yes,2,Ford,2,21986.9282
116941,Yes,2,Ford,11,15028.26382
131792,Yes,1,BMW,6,16114.79949
79514,Yes,2,Ford,11,18207.9364
128543,Yes,1,BMW,13,12709.77844
54533,No,2,Ford,9,19948.52366
180128,Yes,2,Honda,8,13572.78965
176158,Yes,1,Honda,8,12713.55192
,Yes,1,nissan,6,15615.42855
136355,No,3,Honda,12,14781.21133
11554,Yes,2,nissan,8,23501.18299
67964,,2,Honda,0,27034.61874
106780,No,3,Honda,11,16464.42778
71754,No,2,Honda,11,15313.46667
152148,Yes,3,nissan,8,15345.00605
209878,Yes,2,,5,13612.19314
67052,No,2,nissan,4,22224.0205
82314,Yes,1,Ford,5,20066.48433
130595,,1,nissan,9,14410.5786
192500,Yes,2,Ford,2,16965.79065
64993,Yes,1,BMW,9,15757.12362
131207,No,2,,8,15935.97533
201958,No,2,Honda,13,8857.232095
45671,Yes,1,BMW,10,17228.29626
62352,No,2,BMW,5,21035.5435
100938,Yes,2,Ford,2,22059.32703
96574,No,2,Honda,5,19478.51027
156567,Yes,2,BMW,13,12478.22647
130875,Yes,3,Honda,9,17737.23757
40127,No,2,Honda,10,18227.81412
143193,Yes,,Honda,6,16100.47274
94011,Yes,2,Honda,10,17248.21581
177350,Yes,2,BMW,3,16989.85989
91759,No,2,nissan,11,13866.14048
91352,Yes,2,nissan,4,20460.1929
144351,No,1,Ford,1,18114.37654
154332,No,2,BMW,16,9241.184443
140164,No,2,Ford,8,14909.82792
44148,Yes,1,nissan,8,18331.73917
144212,No,2,nissan,1,20346.71606
,Yes,1,nissan,10,14536.92823
130587,No,2,nissan,11,12909.66488
55932,No,2,Honda,7,20594.75542
140084,Yes,3,BMW,11,16555.62521
83703,No,1,BMW,12,13910.53435
62281,Yes,2,BMW,10,21164.66275
152122,Yes,2,BMW,0,22177.5199
130874,Yes,2,,4,18952.5185
92371,No,2,Ford,14,11692.94287
185303,No,1,Honda,8,10861.81575
100171,No,1,BMW,8,15506.4637
121445,Yes,1,nissan,5,16693.12474
132101,No,1,nissan,6,14708.94806
92115,No,,BMW,12,16558.47732
141201,No,1,BMW,13,9688.42623
95995,Yes,2,Ford,11,16504.49989
101476,Yes,2,nissan,,15746.09892
181319,,2,Honda,10,10571.47631
73174,Yes,,BMW,8,18852.96406
11425,Yes,2,Honda,4,26172.60796
192492,Yes,2,,3,16561.72975
234720,Yes,2,BMW,13,7607.561728
101763,Yes,2,Honda,,17232.57089
32842,Yes,3,Ford,10,19671.40773
106028,No,3,BMW,9,19847.00714
107120,No,1,nissan,9,12482.37738
111453,Yes,1,BMW,9,14112.67069
69898,Yes,2,nissan,10,18021.91448
365201,No,4,Honda,5,26676.6706
143603,Yes,3,BMW,12,18671.83752
52752,No,2,Honda,5,21684.99732
151464,Yes,3,,9,17506.08419
212371,Yes,3,BMW,4,19065.68374
127738,Yes,3,BMW,7,19944.81042
104820,Yes,2,nissan,6,18498.54611
113610,No,1,,8,13678.35601
147687,Yes,2,BMW,11,12233.0165
42120,,2,Ford,8,19979.27809
127398,No,2,nissan,,11121.92103
102429,No,,Honda,11,13192.42504
203152,No,3,BMW,7,14633.89882
112162,Yes,1,Ford,8,17439.52591
195055,Yes,,Ford,9,13306.44215
70332,No,2,Ford,10,16743.11815
146427,Yes,1,Ford,4,17203.73333
134373,Yes,1,Honda,10,12291.4082
80893,Yes,1,Honda,4,16482.5795
127983,Yes,2,Ford,10,14540.85839
174563,No,2,Honda,12,11622.55874
105429,Yes,1,Ford,9,15752.38297
43862,No,,Honda,0,23677.86577
119210,No,2,BMW,2,20465.22528
79391,Yes,2,Ford,10,17025.83299
104595,No,1,Ford,0,21064.60986
116329,Yes,1,Ford,10,13599.6787
43246,Yes,2,Honda,11,17948.04203
47295,Yes,2,Honda,12,17048.41298
141693,Yes,2,Ford,7,16787.963
96478,Yes,1,Ford,10,15067.13227
5000,Yes,2,Honda,9,21223.52974
155318,Yes,2,,3,19809.04425
132257,Yes,2,Honda,11,13505.68613
219689,No,3,nissan,13,19248.04223
60743,Yes,2,,10,16681.82327
157611,No,1,BMW,6,14440.87819
135721,,1,nissan,11,10647.36984
227217,No,1,Ford,13,5064.431634
138908,Yes,3,Honda,12,14874.70607
137447,No,2,nissan,12,11773.47381
112488,No,2,BMW,2,20333.72959
156755,No,2,BMW,9,14909.48893
148129,No,2,BMW,10,14254.28596
176328,Yes,1,nissan,12,8784.525971
96540,No,2,Ford,10,14271.5072
100407,No,2,Honda,13,11827.68591
98440,Yes,3,BMW,2,26558.67976
155586,Yes,,,10,16900.44402
187427,No,2,BMW,10,11710.95287
99352,No,3,nissan,11,15514.9716
100885,Yes,3,BMW,13,18241.03837
134133,Yes,1,nissan,5,15025.02666
108941,Yes,2,Honda,13,12483.39602
162842,Yes,2,nissan,11,11407.54653
18670,No,2,Ford,7,22218.09977
82798,No,2,Ford,5,20540.53816
84791,Yes,2,BMW,9,16773.65389
15584,Yes,2,Ford,9,21004.38768
76636,No,2,,9,18632.82315
78818,No,,BMW,6,17248.7352
,Yes,2,nissan,10,14142.71876
170083,Yes,1,BMW,7,12695.28246
108972,Yes,1,BMW,12,13477.39072
73613,No,2,Honda,14,13834.03595
117437,No,2,Ford,5,18579.97242
,Yes,2,BMW,8,13747.69664
76082,No,2,nissan,11,18727.42392
,No,3,BMW,9,20587.27288
145135,No,2,Honda,,18130.27311
