area_sqft,has_elevator,bedrooms,Location,building_age,monthly_rent
582,Yes,2,Downtown,14,1567
1574,No,2,Downtown,27,2566
,Yes,3,Downtown,17,1916
1431,Yes,4,Old Town,4,2348
1017,Yes,3,Suburb,24,2118
1474,,2,Downtown,11,2736
1346,Yes,3,Suburb,,2046
1309,Yes,3,Uptown,26,2289
1110,No,,Downtown,30,2266
2208,Yes,2,Suburb,23,2665
979,Yes,4,Downtown,25,2552
901,No,2,Suburb,17,1560
1905,No,2,Uptown,28,2660
731,Yes,2,Old Town,28,1179
1657,Yes,4,Old Town,27,2519
1058,Yes,4,Suburb,,2041
815,Yes,3,Downtown,11,2130
1713,,4,,30,2781
1337,Yes,2,Downtown,25,2471
1231,Yes,4,Uptown,,2567
1284,Yes,2,,31,2197
1511,No,3,,17,2153
548,,2,,20,1431
1690,No,,Old Town,16,1532
425,No,2,,25,880
708,Yes,3,,21,1432
1538,Yes,2,Suburb,17,2416
,Yes,5,Downtown,2,3271
959,No,,Downtown,33,2034
1580,No,3,Suburb,16,2256
1051,No,3,Uptown,8,2157
461,No,3,Downtown,42,1521
913,Yes,4,Suburb,29,1971
572,No,,Downtown,13,1727
1195,No,2,Old Town,,1814
1323,No,,Uptown,,2043
1392,No,,Downtown,31,2084
597,Yes,2,Downtown,6,1749
1394,Yes,,Old Town,16,2116
1453,Yes,3,Uptown,30,2384
1801,No,3,Uptown,1,2843
,Yes,,Downtown,9,2070
718,No,4,Downtown,16,2114
836,Yes,2,Downtown,15,2096
1286,Yes,2,Downtown,22,2207
1184,Yes,2,,0,2439
1117,Yes,1,Old Town,23,1298
941,No,2,Downtown,16,1571
1468,,2,Suburb,22,1620
1441,Yes,2,Suburb,8,2179
1075,No,3,Suburb,4,2096
2249,Yes,3,Downtown,12,3430
598,Yes,3,Suburb,17,1435
960,Yes,2,,14,1837
743,Yes,2,Downtown,6,1907
854,No,4,Old Town,8,1783
1087,Yes,1,Suburb,12,1794
,Yes,1,Downtown,37,1631
1210,No,1,Suburb,27,1672
2463,No,3,Old Town,19,2947
467,No,2,Uptown,17,1519
1037,No,1,Downtown,29,1834
1485,Yes,3,Uptown,18,2453
250,,3,Suburb,18,1697
1524,No,5,Downtown,8,3330
1830,No,4,Downtown,28,2963
1047,Yes,,Suburb,13,1909
888,Yes,3,Old Town,11,1669
973,No,5,Downtown,,2528
,No,2,Downtown,33,2068
1264,No,1,Suburb,20,1588
1469,Yes,4,Downtown,9,3045
821,,2,Old Town,16,1618
1610,Yes,1,Downtown,25,2477
1143,No,2,Downtown,25,2056
2343,No,2,Old Town,15,2726
746,Yes,1,,2,1664
1835,No,3,Downtown,19,3174
878,Yes,2,Downtown,22,1667
630,Yes,1,Downtown,21,1477
1190,Yes,3,Downtown,31,2295
668,No,2,Suburb,33,1447
1361,Yes,3,,32,1931
,No,2,Suburb,11,2412
984,No,2,Uptown,21,1455
825,Yes,4,Downtown,,2319
1639,Yes,1,Suburb,16,2278
738,Yes,4,Downtown,23,2190
500,,3,Suburb,9,1334
1601,Yes,3,Uptown,20,2637
1285,,3,Downtown,7,2498
1178,Yes,3,Old Town,19,1892
780,,3,Suburb,13,1665
1496,Yes,4,Uptown,14,3058
1540,No,3,Downtown,18,2502
320,Yes,1,Downtown,21,1366
2504,No,3,Downtown,9,3571
573,Yes,4,Downtown,21,1952
900,No,4,Uptown,17,2166
984,Yes,2,Downtown,12,2294
296,Yes,2,Suburb,21,888
762,Yes,1,Suburb,26,1589
925,Yes,3,Old Town,36,1875
1026,Yes,3,Suburb,6,2283
838,No,,Downtown,29,2110
1717,No,2,Uptown,14,2347
1344,No,3,Downtown,21,2668
1616,Yes,2,Downtown,7,2877
1049,No,2,Uptown,23,1924
,Yes,,Downtown,11,2920
1287,No,1,Downtown,18,2230
1540,No,3,Uptown,11,2574
726,Yes,3,,12,1793
,No,3,Downtown,11,2818
1283,No,3,Old Town,35,1638
1216,Yes,3,Old Town,10,1977
1823,No,2,,26,2501
1072,Yes,1,Suburb,15,1457
1036,Yes,2,Downtown,12,2339
1794,Yes,2,Downtown,21,2920
1024,Yes,5,Downtown,27,2734
1108,Yes,3,Downtown,9,2582
520,Yes,3,Uptown,38,1536
786,Yes,4,Old Town,34,1494
1653,Yes,3,Downtown,18,2805
1310,No,3,Downtown,22,2367
710,Yes,2,Suburb,21,1299
934,Yes,2,Downtown,19,1937
778,Yes,3,Uptown,25,1981
1361,No,3,Suburb,12,2231
1409,Yes,1,Old Town,29,1749
926,No,,Uptown,15,2013
723,No,3,Suburb,23,1530
445,No,2,Downtown,17,1268
1850,Yes,3,,12,2819
1074,No,1,Suburb,8,1530
1449,No,3,Downtown,15,2535
722,Yes,3,Downtown,16,1988
1035,No,3,Suburb,28,1783
679,Yes,3,Uptown,13,1838
1487,No,4,Uptown,27,2543
1547,No,2,Old Town,5,2149
1562,No,3,Downtown,13,2844
838,No,2,Suburb,27,1309
1246,Yes,2,Uptown,24,2047
651,No,2,Uptown,19,1553
1255,No,1,Uptown,4,2118
1547,No,3,,,2036
1023,No,1,Old Town,13,1684
1130,No,3,Downtown,22,2373
769,No,3,Uptown,15,1746
,No,,Downtown,15,1838
831,No,2,Suburb,14,1673
876,No,1,Downtown,35,1274
1631,No,2,Suburb,13,2102
,Yes,3,,8,1827
1189,Yes,2,Old Town,22,1922
1565,No,3,Downtown,0,2856
1337,Yes,2,Suburb,10,2083
2360,No,3,Uptown,31,3040
1504,No,,Old Town,16,2095
1056,No,3,Downtown,14,2280
556,No,4,Downtown,36,1778
1734,Yes,2,Downtown,18,2747
995,Yes,3,Old Town,11,1735
843,Yes,3,Suburb,23,1631
780,Yes,2,Uptown,15,1585
692,Yes,3,Downtown,17,1852
1094,Yes,3,Downtown,,2315
964,Yes,1,Downtown,2,2137
1285,Yes,2,Uptown,24,2244
2194,No,3,Downtown,,2830
1227,Yes,1,Uptown,0,2030
1984,No,1,Suburb,30,2308
1054,Yes,4,Uptown,16,2279
1096,Yes,5,Old Town,12,2132
,Yes,3,Old Town,21,1247
1747,No,2,Suburb,,2352
810,Yes,2,,20,1721
1548,No,,Downtown,11,2716
250,Yes,2,Suburb,15,1058
888,Yes,4,Downtown,19,2285
1253,Yes,3,Old Town,,1830
1101,Yes,3,Old Town,28,1922
,No,3,Downtown,4,2047
,Yes,,Downtown,20,2030
1531,Yes,4,Old Town,17,2523
543,No,3,,18,1772
,Yes,1,Uptown,26,1962
1680,Yes,1,Downtown,,2673
1636,No,1,Suburb,11,1906
1207,Yes,2,Uptown,7,2297
1060,No,2,Old Town,19,1542
,No,3,Uptown,10,2626
1120,No,4,Downtown,10,2622
1758,Yes,,Suburb,20,2734
2242,No,1,Suburb,14,2372
669,Yes,3,Downtown,14,2020
1353,Yes,2,,22,2084
1158,No,3,Uptown,,1969
295,Yes,4,Downtown,22,1847
1376,No,2,Downtown,28,2093
,Yes,1,Uptown,12,1941
1572,Yes,2,Downtown,27,2604
1603,Yes,1,Downtown,9,2511
1277,Yes,,Suburb,36,2072
1620,Yes,3,Downtown,22,2532
638,No,1,Downtown,13,1417
1170,Yes,2,Suburb,27,1969
1726,Yes,4,,10,2965
1577,Yes,4,Uptown,3,3024
1122,No,4,Downtown,9,2494
1393,No,4,Suburb,6,2538
836,Yes,3,Downtown,5,2199
1893,Yes,1,,24,2579
1622,Yes,3,Uptown,24,2754
1256,Yes,2,Old Town,12,1695
1373,Yes,1,Downtown,,1980
1413,Yes,3,Uptown,7,2499
1479,Yes,2,Old Town,29,1965
1076,Yes,3,Uptown,10,1990
1505,No,2,Suburb,20,1811
2088,No,2,Downtown,14,2861
,Yes,3,Downtown,,2966
1050,No,2,Old Town,19,1296
1047,Yes,2,Suburb,13,1749
1303,No,2,Suburb,17,1790
1882,No,1,Downtown,11,2784
1403,Yes,2,Suburb,6,2166
395,No,,Old Town,2,1107
747,No,3,Downtown,19,1820
749,Yes,,Downtown,34,1292
1488,Yes,3,Downtown,11,2638
635,Yes,2,Uptown,24,1601
1685,No,5,Suburb,28,2878
1964,Yes,2,Downtown,14,2800
1593,No,2,Downtown,12,2442
281,Yes,2,Downtown,21,1353
821,No,4,Uptown,25,2178
,Yes,1,Downtown,25,1879
958,No,,Downtown,9,1628
786,,3,Suburb,36,1682
839,Yes,3,Uptown,17,2058
1241,Yes,3,Suburb,17,2323
966,Yes,1,Suburb,20,1389
1058,No,2,Uptown,28,1644
1522,No,3,Suburb,40,2193
250,Yes,2,Downtown,19,1318
474,Yes,,Uptown,10,1112
980,Yes,3,Downtown,21,2353
1015,,4,Downtown,24,2349
924,Yes,2,Downtown,13,2049
1206,Yes,2,,7,2556
1031,Yes,2,Uptown,30,1550
1882,Yes,3,Downtown,29,2729
736,Yes,,Suburb,20,1962
1244,Yes,3,Downtown,30,2211
1081,No,2,Downtown,17,2052
1173,,2,Downtown,7,2423
1053,No,3,Downtown,,1948
1595,No,1,Uptown,18,1992
1367,No,1,,38,1640
693,Yes,4,Suburb,3,2118
1750,No,4,Downtown,23,3183
,No,2,Old Town,8,2059
,Yes,2,,27,1649
1547,No,4,Suburb,28,2542
916,No,3,Downtown,11,2246
1284,No,3,Downtown,,2291
697,No,1,Uptown,2,1433
1548,No,1,Downtown,23,2154
1368,No,1,Downtown,22,2015
1199,No,2,Old Town,23,1594
1439,Yes,2,Suburb,27,2179
504,Yes,3,Old Town,21,1457
1566,Yes,4,Uptown,22,2829
,Yes,1,Old Town,8,1293
1965,No,3,Downtown,11,3077
1179,Yes,4,Uptown,15,2441
622,Yes,5,Suburb,28,2153
2213,Yes,3,Downtown,23,3387
1508,Yes,2,Downtown,20,2539
734,Yes,2,Suburb,0,1565
1318,No,3,Uptown,6,2276
1656,No,5,Old Town,21,2636
250,Yes,3,Uptown,13,1463
1276,,3,,16,2064
1203,No,1,Old Town,26,1104
1220,No,3,Uptown,19,2077
484,Yes,1,Downtown,5,1601
1081,No,4,Old Town,13,1917
519,Yes,2,Old Town,21,1185
,No,,Old Town,25,1357
942,Yes,1,Uptown,12,1511
1282,No,2,Uptown,27,1846
1199,Yes,2,Old Town,0,2037
1292,No,2,Downtown,17,2262
981,Yes,2,Old Town,4,1382
1199,No,,Suburb,10,2478
1278,No,2,Uptown,,1843
1813,No,2,Downtown,14,2539
1325,Yes,3,Suburb,10,2406
1521,Yes,2,Uptown,11,2188
1529,Yes,3,Downtown,30,2490
1190,Yes,1,Downtown,26,2245
1479,Yes,3,,18,2463
1408,No,1,Downtown,3,2457
434,No,2,Uptown,1,1267
1477,Yes,2,Old Town,12,2063
1671,No,2,Suburb,15,2370
1393,,2,Uptown,,1998
742,No,1,Uptown,,1472
820,No,2,Suburb,15,1505
1684,Yes,6,Uptown,16,3104
1344,No,2,Downtown,10,2232
1568,Yes,3,Suburb,,2313
277,Yes,2,Uptown,15,1207
1010,Yes,2,Downtown,1,2292
1191,Yes,,Old Town,23,1704
1290,Yes,5,Uptown,,2894
813,Yes,2,Old Town,26,1588
1180,No,1,,15,1855
1250,Yes,2,Suburb,6,2144
1150,Yes,1,Downtown,19,2083
1328,No,1,Downtown,19,1793
1126,,3,Old Town,13,1882
1311,Yes,4,Downtown,11,2617
862,Yes,3,Suburb,22,1965
1176,Yes,3,Uptown,11,2338
974,No,3,Old Town,30,1568
1235,Yes,2,Downtown,25,2428
1195,Yes,1,Suburb,28,1349
955,No,3,Downtown,9,2219
1036,Yes,2,Old Town,18,1438
1076,No,3,Uptown,,2104
1060,Yes,3,Downtown,12,2310
310,Yes,3,Suburb,33,1028
1770,Yes,3,Downtown,28,2855
1075,Yes,3,Uptown,20,2202
1449,,2,Downtown,32,2302
422,No,3,Downtown,28,1571
1273,Yes,5,Downtown,13,2835
1108,Yes,3,,,2209
476,No,3,Uptown,,1774
1894,Yes,4,Suburb,7,3025
1804,Yes,4,Downtown,31,3166
1379,Yes,2,Downtown,16,2726
1573,Yes,1,Downtown,25,2389
1390,Yes,2,Downtown,22,2302
1019,Yes,3,Downtown,17,2161
407,Yes,2,Old Town,13,928
720,No,2,Downtown,22,1657
950,Yes,3,Old Town,35,1485
2126,,2,Suburb,21,2782
789,Yes,4,Suburb,3,1972
1048,No,,Downtown,0,2214
1227,No,3,,19,2173
,Yes,2,Old Town,,1839
1103,Yes,2,Downtown,5,2273
1011,No,3,Uptown,28,1778
2315,No,1,Downtown,13,2695
,Yes,2,Old Town,23,1686
2281,No,3,Old Town,27,2739
1017,No,3,Downtown,5,2453
1235,No,3,Downtown,17,2419
1557,Yes,3,Uptown,10,2684
1033,No,3,Suburb,24,1818
597,No,4,Uptown,29,1675
1320,Yes,3,Suburb,20,2111
629,No,2,Suburb,,1375
250,Yes,2,Suburb,16,1108
1392,,2,Uptown,23,2337
705,No,3,Downtown,9,2152
1596,Yes,3,Suburb,0,2725
1308,No,2,Suburb,24,2057
1522,No,2,Uptown,22,2216
1797,No,3,Uptown,26,2693
3042,No,7,Downtown,23,5177
1679,Yes,5,Downtown,7,3492
908,No,3,Uptown,8,2038
1699,Yes,2,Uptown,27,2532
1442,Yes,2,Old Town,8,1955
1418,No,4,Suburb,,2754
1662,No,3,Downtown,9,2753
1683,Yes,2,Uptown,30,2306
1340,Yes,2,Old Town,5,1934
368,Yes,4,Downtown,23,1843
1819,,2,Uptown,10,2694
976,Yes,4,Uptown,23,2073
1352,No,3,Uptown,23,2474
1505,No,2,Downtown,21,2486
253,Yes,4,Uptown,31,1863
1048,Yes,3,Uptown,36,1967
1279,Yes,2,Old Town,0,2076
2554,No,4,Downtown,16,3774
1610,Yes,3,Old Town,13,2375
791,No,2,Uptown,27,1429
1740,Yes,3,Downtown,27,3087
1864,Yes,4,Old Town,4,2897
1092,Yes,3,Old Town,18,1974
1229,Yes,,Old Town,12,1722
1435,Yes,3,Downtown,23,2787
1438,No,,Suburb,28,1778
1187,No,2,,8,2050
717,No,2,Downtown,18,1666
457,No,3,Suburb,9,1544
769,No,3,Downtown,3,2305
954,No,1,Suburb,29,1315
1138,No,3,Old Town,28,1673
1521,No,2,Downtown,9,2445
812,Yes,3,Downtown,28,2193
797,No,4,Suburb,7,1830
1420,No,,Downtown,25,2113
846,No,2,Downtown,9,1971
902,No,3,Uptown,18,1947
,Yes,3,Uptown,17,2220
1097,Yes,1,Uptown,0,1880
686,Yes,4,Downtown,15,2124
1517,No,3,Uptown,17,2239
,Yes,3,Old Town,8,2388
1000,Yes,2,Suburb,13,2073
2187,No,1,Suburb,28,2279
872,,2,Downtown,,1977
1205,No,3,Suburb,13,2148
615,No,4,Uptown,6,2029
985,No,2,Old Town,11,1386
2026,No,4,Suburb,17,2833
1357,No,,Downtown,15,2067
1223,No,2,Suburb,9,1850
825,Yes,3,Old Town,12,1683
571,No,1,Suburb,10,1514
1757,No,4,Downtown,31,2924
1379,Yes,2,Downtown,30,2279
830,Yes,2,Suburb,18,1626
794,No,2,Suburb,22,986
1446,No,1,Uptown,31,1933
1654,Yes,3,Downtown,27,2731
548,No,2,Suburb,11,1397
1178,,3,Uptown,21,2119
1307,,2,Downtown,15,2235
1249,Yes,3,Downtown,26,2514
1141,No,3,Downtown,0,2438
545,No,3,Downtown,0,2024
1231,No,5,Suburb,22,2554
,No,2,Old Town,20,1789
563,Yes,3,Old Town,23,1290
1274,Yes,3,Downtown,10,2638
1390,Yes,3,,5,2475
699,No,,Downtown,13,1662
922,Yes,3,Old Town,2,1954
812,No,5,Suburb,8,2001
1217,No,2,Uptown,26,2072
704,No,3,Downtown,15,1864
438,Yes,2,Downtown,13,1326
1396,Yes,1,Old Town,9,1773
1674,No,2,Downtown,13,2443
1062,Yes,1,Old Town,20,1334
318,No,1,Uptown,22,1059
671,No,2,Old Town,6,1085
969,No,2,Uptown,19,1646
1281,No,,Suburb,35,1688
847,No,,Downtown,11,1785
1301,Yes,2,Suburb,21,2032
,Yes,5,Downtown,15,2601
1721,Yes,2,Suburb,18,2336
510,No,2,Downtown,25,1339
1094,No,3,Downtown,21,2274
932,Yes,1,,23,1820
1272,Yes,1,Old Town,8,1494
587,No,1,Suburb,13,1112
1251,No,2,Downtown,26,2054
949,No,3,,9,1984
1287,Yes,3,Old Town,21,2028
937,Yes,3,Downtown,27,2180
1699,No,4,Old Town,24,2461
1187,No,3,Old Town,13,1783
1039,Yes,3,Downtown,16,2252
1058,Yes,2,Suburb,20,1748
1071,No,2,Downtown,11,2160
1478,Yes,2,Old Town,10,1842
1221,No,1,Uptown,13,1959
1071,No,4,Uptown,29,2397
1526,No,1,Uptown,6,2334
2138,No,4,Old Town,21,2841
894,Yes,4,Suburb,21,1934
,No,2,Suburb,33,1747
836,No,1,Uptown,37,1015
1429,Yes,2,Suburb,9,2374
1782,Yes,2,Downtown,24,2407
576,No,4,Suburb,13,1839
1348,No,3,Downtown,23,2283
447,,4,Old Town,8,1267
936,No,2,Uptown,21,1686
1157,No,2,Downtown,34,2080
1472,Yes,3,Uptown,8,2430
714,No,2,Downtown,26,1559
648,Yes,,,24,1803
862,No,2,Downtown,30,1765
1275,Yes,,Uptown,20,2546
532,Yes,2,Uptown,20,1358
2279,No,2,Suburb,26,2799
880,No,2,Suburb,37,1379
800,No,2,Downtown,18,1810
599,No,2,Uptown,21,1513
1425,No,1,Old Town,21,1434
953,No,3,Downtown,7,1894
1449,,2,Suburb,11,2076
1352,No,2,Old Town,9,1718
2050,No,3,Uptown,23,2881
662,No,2,Suburb,16,1190
1170,Yes,2,Uptown,15,2184
1084,No,2,Suburb,23,1574
270,No,4,Downtown,10,1799
1398,Yes,3,Uptown,17,2635
1061,No,2,Downtown,26,1984
1525,Yes,3,Downtown,19,2647
1270,No,1,Downtown,26,1961
1164,No,2,Uptown,2,2167
,No,4,Downtown,20,3303
,Yes,,Downtown,19,2058
1563,Yes,2,Suburb,22,2111
1352,Yes,1,Downtown,6,2084
1926,No,3,Suburb,13,2789
1090,Yes,2,Downtown,7,2345
2209,,1,Downtown,14,2993
993,Yes,1,Uptown,36,1634
1391,Yes,5,Downtown,15,2872
,Yes,2,Suburb,9,1822
1573,Yes,2,Uptown,,2573
956,Yes,3,Uptown,11,1988
2396,Yes,1,,16,2976
1284,No,4,Suburb,24,2314
1159,Yes,2,Downtown,22,2023
780,No,2,Old Town,,1055
293,Yes,2,Downtown,28,1262
1345,No,2,Downtown,24,2352
713,No,2,Downtown,26,1518
1524,Yes,2,Downtown,41,2341
250,No,1,Downtown,23,1119
713,Yes,3,Suburb,19,1423
1232,Yes,2,Uptown,18,2260
1826,Yes,3,Downtown,14,3212
1161,No,2,Downtown,10,2160
1274,Yes,4,Uptown,4,2880
691,,2,Old Town,42,1114
,No,3,Suburb,11,2407
2018,No,,Downtown,25,2825
,No,3,Downtown,19,3118
276,,2,Suburb,,759
1525,No,2,Downtown,21,2272
876,No,2,Uptown,19,1746
1107,No,1,Old Town,0,1266
1106,No,3,Suburb,20,2021
969,Yes,2,,25,1944
707,Yes,2,Suburb,24,1492
498,Yes,3,Downtown,10,2261
2315,Yes,2,Uptown,24,2980
,,2,Downtown,10,1972
,No,3,Uptown,0,1694
1517,No,2,Downtown,2,2599
,No,2,Suburb,3,2517
1211,Yes,2,Suburb,33,1511
738,Yes,3,Downtown,19,2015
1621,No,1,Suburb,2,2106
824,No,3,Old Town,26,1329
,No,1,Old Town,26,743
710,No,2,Suburb,24,1364
703,No,3,Downtown,19,1723
1525,No,,Downtown,21,2372
956,No,3,Suburb,10,2049
2291,Yes,2,,23,2795
1314,Yes,2,Uptown,19,2215
1260,No,3,Uptown,0,2364
1310,Yes,4,Downtown,12,2661
937,No,3,Uptown,18,1677
1579,No,1,Old Town,3,1880
814,No,2,Downtown,15,1600
981,No,2,Old Town,10,1322
1593,No,2,Uptown,2,2505
1811,Yes,3,Downtown,28,3032
2133,No,3,Suburb,22,3181
1000,No,,Uptown,13,2071
1445,Yes,1,Downtown,27,2011
383,,3,Suburb,32,984
1909,No,2,Uptown,8,2746
1125,Yes,3,Downtown,30,2327
